@relation training_set

@attribute class {DRG039,DRG057,DRG069,DRG064,DRG065,DRG066,DRG074,DRG101,DRG149,DRG176,DRG177,DRG189,DRG178,DRG190,DRG191,DRG193,DRG194,DRG192,DRG195,DRG202,DRG203,DRG207,DRG238,DRG252,DRG253,DRG208,DRG254,DRG291,DRG243,DRG244,DRG246,DRG247,DRG249,DRG251,DRG280,DRG292,DRG281,DRG282,DRG286,DRG287,DRG293,DRG300,DRG301,DRG303,DRG305,DRG308,DRG312,DRG309,DRG310,DRG313,DRG314,DRG315,DRG330,DRG377,DRG329,DRG372,DRG378,DRG379,DRG389,DRG390,DRG391,DRG394,DRG439,DRG392,DRG460,DRG473,DRG418,DRG419,DRG469,DRG470,DRG480,DRG481,DRG536,DRG482,DRG552,DRG491,DRG563,DRG602,DRG603,DRG638,DRG640,DRG682,DRG641,DRG683,DRG684,DRG689,DRG690,DRG811,DRG698,DRG699,DRG812,DRG853,DRG885,DRG870,DRG871,DRG872,DRG897,DRG948,DRG917,DRG918}
@attribute providerId {PID10001,PID10005,PID10006,PID10011,PID10016,PID10023,PID10029,PID10033,PID10039,PID10040,PID10024,PID10035,PID10038,PID10047,PID10049,PID10010,PID10019,PID10025,PID10054,PID10055,PID10056,PID10061,PID10065,PID30030,PID30036,PID40039,PID10012,PID10034,PID10078,PID10092,PID10113,PID10118,PID10139,PID10021,PID100248,PID220020,PID220119,PID220126,PID300012,PID330067,PID450508,PID520021,PID10009,PID100053,PID220080,PID330004,PID350015,PID450188,PID100007,PID100054,PID100252,PID110001,PID140185,PID140186,PID140187,PID140289,PID10007,PID200001,PID50242,PID70027,PID100061,PID10008,PID10015,PID100062,PID100181,PID100183,PID100187,PID100314,PID10027,PID10046,PID70033,PID420087,PID310052,PID330399,PID390063,PID170192,PID390168,PID200009,PID110028,PID110091,PID110092,PID140007,PID140080,PID140217,PID170197,PID210061,PID230092,PID230208,PID100052,PID10090,PID180102,PID310051,PID50013,PID50014,PID60028,PID60030,PID70018,PID70019,PID70020,PID100009,PID100012,PID100093,PID140030,PID50039,PID250093,PID360010,PID40020,PID40022,PID50121,PID50122,PID50124,PID50231,PID70024,PID220108,PID240047,PID100006,PID50069,PID50077,PID50300,PID60100,PID100122,PID100125,PID110008,PID110010,PID10036,PID340114,PID520160,PID70029,PID140127,PID390133,PID50006,PID140051,PID220067,PID30011,PID10152,PID160029,PID230244,PID310112,PID310113,PID50128,PID50764,PID60001,PID100022,PID100023,PID100105,PID100231,PID140148,PID50168,PID60064,PID70001,PID30023,PID40010,PID40014,PID50111,PID60003,PID60009,PID60010,PID60011,PID140011,PID200008,PID390112,PID520100,PID280040,PID360098,PID390091,PID450193,PID450196,PID450668,PID10085,PID80007,PID10079,PID100281,PID100284,PID110125,PID10104,PID50248,PID50257,PID90003,PID90006,PID90011,PID100001,PID120007,PID140082,PID150035,PID190118,PID190125,PID210028,PID30103,PID30110,PID50133,PID50557}
@attribute providerRegionDescription {RIDALDothan,RIDALBirmingham,RIDALMontgomery,RIDALHuntsville,RIDAZPhoenix,RIDAZMesa,RIDARJonesboro,RIDALTuscaloosa,RIDALMobile,RIDFLClearwater,RIDMABoston,RIDNHManchester,RIDNYAlbany,RIDTXHouston,RIDWIMilwaukee,RIDFLMiami,RIDNDBismarck,RIDTXDallas,RIDFLOrlando,RIDFLPensacola,RIDGAAtlanta,RIDMOSt.Louis,RIDILJoliet,RIDMEBangor,RIDCASantaCruz,RIDCTHartford,RIDFLOcala,RIDCTNewHaven,RIDSCCharleston,RIDNJCamden,RIDNYBronx,RIDPAErie,RIDKSWichita,RIDPAPittsburgh,RIDMEPortland,RIDGAAugusta,RIDGAMacon,RIDILEvanston,RIDILElgin,RIDMDSalisbury,RIDMIAnnArbor,RIDMILansing,RIDKYPaducah,RIDNJMorristown,RIDCANapa,RIDCASacramento,RIDCODenver,RIDCOGreeley,RIDCTBridgeport,RIDFLFortMyers,RIDCAChico,RIDTNMemphis,RIDOHCanton,RIDARSpringdale,RIDCAFresno,RIDCAStockton,RIDCALosAngeles,RIDMNDuluth,RIDCAOrangeCounty,RIDCASanDiego,RIDCASanBernardino,RIDNCRaleigh,RIDWIAppleton,RIDILBloomington,RIDPAAllentown,RIDCARedding,RIDAZTucson,RIDIAIowaCity,RIDMIDearborn,RIDILSpringfield,RIDARLittleRock,RIDCOBoulder,RIDCOFortCollins,RIDPAJohnstown,RIDWIMadison,RIDNEOmaha,RIDOHCleveland,RIDTXElPaso,RIDCASalinas,RIDCABakersfield,RIDDCWashington,RIDFLJacksonville,RIDHIHonolulu,RIDILChicago,RIDINGary,RIDLAShreveport,RIDLAMonroe,RIDCAModesto}
@attribute totalDischarges numeric
@attribute averageCoveredPayments numeric
@attribute averageTotalPayments numeric
@attribute averageMedicarePayments numeric

@data
DRG074,PID10029,RIDALBirmingham,25,10775.52,5557.28,3669.76
DRG074,PID10033,RIDALBirmingham,72,30822.97,6843.19,5501.68
DRG074,PID10039,RIDALHuntsville,67,32565.82,6568.5,4253.71
DRG074,PID10040,RIDALBirmingham,14,57705.42,4849.71,4526.35
DRG101,PID10001,RIDALDothan,27,19619.7,4667.22,3249.66
DRG101,PID10006,RIDALBirmingham,24,18362.2,4199.16,3005.95
DRG101,PID10011,RIDALBirmingham,22,15468.45,4154.22,3041.36
DRG101,PID10016,RIDALBirmingham,30,24004.8,4229.86,3152.56
DRG101,PID10019,RIDALBirmingham,12,13359.66,4243.5,3405.16
DRG101,PID10023,RIDALMontgomery,20,16271.15,5036.8,4247.6
DRG101,PID10024,RIDALMontgomery,31,19228.61,4274.64,3256.32
DRG101,PID10029,RIDALBirmingham,24,9518.91,4713.04,3221.79
DRG101,PID10033,RIDALBirmingham,145,15283.03,6024.28,4290.73
DRG101,PID10034,RIDALMontgomery,14,5797.42,4313.64,3509.64
DRG149,PID10023,RIDALMontgomery,14,15280.28,4295.42,3131.21
DRG149,PID10024,RIDALMontgomery,12,12631.5,3618,2680
DRG149,PID10038,RIDALBirmingham,11,19866.81,3311.45,2491.09
DRG149,PID10039,RIDALHuntsville,16,19069.25,4034.12,2691.12
DRG149,PID10056,RIDALBirmingham,15,9433.13,3260,2289.6
DRG149,PID10078,RIDALBirmingham,20,10195.75,3499.4,2260.25
DRG149,PID10092,RIDALTuscaloosa,38,14925.73,3913.92,2728.84
DRG149,PID10113,RIDALMobile,30,12466.23,3468.73,2392.13
DRG149,PID10118,RIDALBirmingham,16,21448.56,4437.12,3523.37
DRG149,PID10139,RIDALBirmingham,19,38751.15,3257,2371.73
DRG176,PID10001,RIDALDothan,33,23680.3,6020.27,5338.09
DRG176,PID10006,RIDALBirmingham,14,23228.42,5599.57,4633.85
DRG176,PID10010,RIDALHuntsville,12,12814,5446.41,4977.41
DRG176,PID10011,RIDALBirmingham,17,18820.05,6294.29,4565.7
DRG176,PID10016,RIDALBirmingham,17,31418.05,6328.7,4887
DRG176,PID10019,RIDALBirmingham,15,12212,5972.33,4924.33
DRG176,PID10023,RIDALMontgomery,24,31922.41,7846.45,6102.04
DRG176,PID10024,RIDALMontgomery,11,26301.81,6062.45,5345
DRG176,PID10029,RIDALBirmingham,15,12835.93,6282.06,4653.6
DRG176,PID10033,RIDALBirmingham,35,17814.42,7360.85,6405.82
DRG177,PID10001,RIDALDothan,21,48240.09,11634.52,10553.23
DRG177,PID10005,RIDALBirmingham,18,23464.22,11367.22,10686.11
DRG177,PID10006,RIDALBirmingham,83,48418.9,11365.8,9859.32
DRG177,PID10010,RIDALHuntsville,22,29775.04,10556.27,10099
DRG177,PID10011,RIDALBirmingham,30,63741.33,12574.6,10958.6
DRG177,PID10016,RIDALBirmingham,24,57383.04,11015.83,10573.08
DRG177,PID10021,RIDALDothan,17,17198.88,10533.35,9937.82
DRG177,PID10024,RIDALMontgomery,15,58056.86,11230.33,10628.66
DRG177,PID10025,RIDALBirmingham,19,18988.94,12106.78,11339
DRG177,PID10029,RIDALBirmingham,16,18398.12,11514.62,11025.37
DRG189,PID100248,RIDFLClearwater,29,44885.89,7323.79,6695.27
DRG189,PID220020,RIDMABoston,21,16982,9114.33,8386.47
DRG189,PID220119,RIDMABoston,12,43313.5,10454.91,9991.16
DRG189,PID220126,RIDMABoston,27,12424.25,7950.7,7314.88
DRG189,PID300012,RIDNHManchester,45,16677.91,8341.88,7218.53
DRG189,PID330067,RIDNYAlbany,12,29283,10534.66,9974
DRG189,PID450508,RIDTXHouston,11,17635.81,7586.36,6774.72
DRG189,PID520021,RIDWIMilwaukee,22,21478,7679,7014.45
DRG178,PID10001,RIDALDothan,22,31341.59,7873.54,7017.5
DRG178,PID10005,RIDALBirmingham,29,16967,9003.79,7318.62
DRG178,PID10006,RIDALBirmingham,31,41442.48,8063.38,7338.25
DRG178,PID10009,RIDALBirmingham,15,60995.86,8001,7254.86
DRG178,PID10010,RIDALHuntsville,21,21231.8,6822.23,6233.85
DRG178,PID10011,RIDALBirmingham,17,25045.47,8109.05,7363.7
DRG178,PID10012,RIDALBirmingham,22,45575.22,7485.22,6708.18
DRG178,PID10016,RIDALBirmingham,14,47358.07,11643.85,6528.35
DRG178,PID10019,RIDALBirmingham,18,19213.72,8227.44,7539.22
DRG178,PID10021,RIDALDothan,15,11068.06,8318.26,7268.13
DRG190,PID100053,RIDFLMiami,48,74033.39,10502.2,9684.79
DRG191,PID220080,RIDMABoston,49,10720.44,6626.73,5795.16
DRG191,PID330004,RIDNYAlbany,61,24863.55,7104.18,6384.63
DRG191,PID350015,RIDNDBismarck,27,9740.11,6105.7,5083.92
